type,latitude,longitude,alt
T,48.19878,-3.01483,169.6
T,48.198785,-3.01482333333,169.8
T,48.1987883333,-3.01481166667,169.7
T,48.1987916667,-3.01480333333,169.8
T,48.1987933333,-3.01479333333,169.9
T,48.198795,-3.01478333333,170.0
T,48.1987966667,-3.014775,170.1
T,48.1988,-3.014765,170.0
T,48.1988016667,-3.014755,169.9
T,48.198805,-3.01474666667,169.6
T,48.1988083333,-3.01473666667,169.6
T,48.1988133333,-3.01473333333,169.6
T,48.1988166667,-3.01473333333,169.6
T,48.19882,-3.014735,169.8
T,48.1988183333,-3.01473666667,169.7
T,48.1988166667,-3.01474,169.8
T,48.1988166667,-3.01474,170.0
T,48.1988166667,-3.01474,170.0
T,48.198815,-3.01474,170.0
T,48.198815,-3.01474,170.0
T,48.1988133333,-3.01474166667,170.3
T,48.1988116667,-3.014745,170.6
T,48.19881,-3.01474666667,170.5
T,48.19881,-3.01475,170.5
T,48.19881,-3.01475166667,170.1
T,48.1988116667,-3.01475333333,170.0
T,48.1988133333,-3.01475333333,169.4
T,48.1988133333,-3.01475666667,169.2
T,48.1988133333,-3.01475666667,169.0
T,48.1988133333,-3.014755,168.9
T,48.1988116667,-3.014755,168.8
T,48.1988133333,-3.01475666667,169.0
T,48.1988116667,-3.01475833333,169.0
T,48.198815,-3.01475833333,169.2
T,48.1988183333,-3.01476,169.2
T,48.1988216667,-3.01476333333,169.2
T,48.198825,-3.014765,169.2
T,48.1988266667,-3.01476833333,169.5
T,48.198845,-3.01474,169.4
T,48.198845,-3.01474,169.5
