type,latitude,longitude,alt
T,48.1952233333,-3.01822166667,165.0
T,48.195225,-3.01822166667,164.7
T,48.1952266667,-3.018215,164.4
T,48.19523,-3.01820666667,163.8
T,48.195235,-3.01820333333,163.2
T,48.1952416667,-3.0182,163.2
T,48.19525,-3.0182,163.0
T,48.1952583333,-3.01820333333,162.4
T,48.1952633333,-3.018205,162.2
T,48.1952683333,-3.01820166667,162.6
T,48.1952683333,-3.01819666667,163.1
T,48.1952666667,-3.018195,163.4
T,48.1952633333,-3.0182,163.1
T,48.1952583333,-3.0182,162.8
T,48.1952533333,-3.01819666667,163.1
T,48.1952483333,-3.01819,163.7
T,48.1952416667,-3.018185,164.2
T,48.1952366667,-3.01818166667,164.5
T,48.19523,-3.01817833333,164.6
T,48.1952266667,-3.01817666667,164.6
T,48.195225,-3.01817,164.7
T,48.1952216667,-3.01816166667,164.7
T,48.1952166667,-3.01815333333,165.0
T,48.19521,-3.01814666667,165.2
T,48.195205,-3.018145,165.4
T,48.1952016667,-3.01814333333,165.8
T,48.1952016667,-3.01814166667,166.1
T,48.1952016667,-3.01814,166.2
T,48.1952033333,-3.01814,166.3
T,48.1952033333,-3.01814166667,166.3
T,48.1952033333,-3.01814166667,166.3
T,48.1952016667,-3.01814,166.4
T,48.1951966667,-3.01813666667,166.5
T,48.1951916667,-3.01813333333,166.5
T,48.1951866667,-3.01813166667,166.5
T,48.1951816667,-3.01813,166.4
T,48.1951766667,-3.01813,166.2
T,48.19517,-3.01812666667,165.9
T,48.1951633333,-3.01812333333,165.6
T,48.1951566667,-3.01812,165.3
T,48.1951483333,-3.01811833333,164.8
T,48.1951416667,-3.01811833333,165.1
T,48.195135,-3.01812,165.0
T,48.1951333333,-3.01811666667,165.2
T,48.1951333333,-3.01811,165.7
T,48.195135,-3.01810833333,165.8
T,48.1951366667,-3.018105,166.0
T,48.1951383333,-3.01810833333,165.8
T,48.1951416667,-3.01811,165.7
T,48.1951433333,-3.01811166667,165.5
T,48.195145,-3.01811333333,165.5
T,48.1951466667,-3.018115,165.3
T,48.1951483333,-3.01811833333,165.0
T,48.19515,-3.01812,165.0
T,48.19515,-3.018125,164.6
T,48.1951483333,-3.01812833333,164.3
T,48.195145,-3.01812833333,164.1
T,48.1951416667,-3.01812333333,164.2
T,48.195135,-3.018125,164.0
T,48.1951316667,-3.018125,164.0
T,48.19513,-3.018125,164.1
T,48.19513,-3.018125,164.2
T,48.1951283333,-3.01812833333,163.3
T,48.1951333333,-3.01812166667,163.2
T,48.195135,-3.01811833333,162.8
T,48.1951383333,-3.018115,162.3
T,48.1951416667,-3.018115,161.3
T,48.1951466667,-3.018105,161.4
T,48.1951533333,-3.01809833333,161.5
T,48.1951616667,-3.01809333333,161.9
T,48.1951666667,-3.01809166667,162.1
T,48.19517,-3.01808833333,162.7
T,48.19517,-3.018085,163.0
T,48.1951666667,-3.01808666667,162.8
T,48.19516,-3.01808833333,162.6
T,48.1951533333,-3.018085,163.2
T,48.1951483333,-3.01808166667,163.5
T,48.195145,-3.01808,163.2
T,48.1951416667,-3.01807666667,163.2
T,48.19514,-3.01808,162.7
T,48.1951383333,-3.01808,162.6
T,48.1951383333,-3.01808,162.3
T,48.19514,-3.01807833333,162.4
T,48.19514,-3.01807166667,162.8
T,48.19514,-3.01806166667,163.2
T,48.19514,-3.01805333333,163.7
T,48.1951383333,-3.01804833333,163.9
T,48.1951383333,-3.01804666667,164.1
T,48.1951383333,-3.018045,164.2
T,48.1951383333,-3.01804333333,164.3
T,48.1951366667,-3.01804166667,164.3
T,48.195135,-3.01803666667,164.4
T,48.1951283333,-3.01803333333,164.5
T,48.1951233333,-3.01803,164.6
T,48.1951183333,-3.01802833333,164.7
T,48.1951116667,-3.018025,164.7
T,48.1951066667,-3.01802,164.7
T,48.1951,-3.01801333333,164.6
T,48.1950933333,-3.01801,164.5
T,48.195085,-3.01800666667,164.3
T,48.1950766667,-3.01800166667,164.5
T,48.19507,-3.01800166667,164.4
T,48.195065,-3.01799833333,164.7
T,48.1950616667,-3.017995,164.7
T,48.1950616667,-3.01799,164.6
T,48.1950616667,-3.01798333333,164.6
T,48.1950616667,-3.01797,165.0
T,48.1950616667,-3.01796,164.9
T,48.1950583333,-3.01795166667,165.0
T,48.1950566667,-3.01794833333,165.1
T,48.1950533333,-3.01794333333,165.4
T,48.19505,-3.01794666667,165.2
T,48.1950466667,-3.01795166667,165.1
T,48.1950433333,-3.01795833333,164.9
T,48.19504,-3.01796333333,164.5
T,48.1950366667,-3.01796833333,164.0
T,48.1950333333,-3.01797,163.8
T,48.19503,-3.017965,163.8
T,48.1950233333,-3.01795666667,164.0
T,48.1950166667,-3.01794833333,164.1
T,48.19501,-3.017945,164.1
T,48.195005,-3.01794333333,164.5
T,48.1949966667,-3.01794166667,164.2
T,48.1949933333,-3.017935,164.3
T,48.1949916667,-3.01792833333,164.4
T,48.19499,-3.01792,164.3
T,48.1949866667,-3.01790833333,164.5
T,48.19498,-3.01790166667,164.6
T,48.1949733333,-3.0179,164.7
T,48.1949666667,-3.01789666667,165.0
T,48.1949616667,-3.01789666667,165.0
T,48.1949566667,-3.01789,165.1
T,48.1949516667,-3.01788166667,165.0
T,48.194945,-3.01787166667,165.1
T,48.19494,-3.01786166667,165.9
T,48.1949366667,-3.01785,166.8
T,48.1949333333,-3.01784166667,167.4
T,48.1949283333,-3.01784166667,166.8
T,48.1949233333,-3.01783666667,166.6
T,48.1949183333,-3.017835,165.5
T,48.194915,-3.01783333333,164.6
T,48.19491,-3.01782666667,164.1
T,48.1949033333,-3.01782,163.9
T,48.1948966667,-3.01782,163.5
T,48.1948933333,-3.01782,163.4
T,48.1948916667,-3.01781833333,163.5
T,48.1948933333,-3.01781833333,163.6
T,48.1948933333,-3.01781666667,163.8
T,48.1948933333,-3.017815,163.9
T,48.1948916667,-3.01781333333,164.0
T,48.194885,-3.01781833333,163.6
T,48.1948833333,-3.01782,163.9
T,48.19488,-3.01781833333,164.5
T,48.1948766667,-3.017815,164.7
T,48.1948733333,-3.01781166667,164.8
T,48.1948666667,-3.01780666667,164.7
T,48.1948616667,-3.0178,164.9
T,48.1948583333,-3.01778833333,165.5
T,48.194855,-3.01779166667,164.5
T,48.1948533333,-3.01780166667,163.4
T,48.1948533333,-3.01781166667,162.3
T,48.1948533333,-3.01781666667,161.5
T,48.1948533333,-3.01780666667,162.0
T,48.19485,-3.01779166667,163.1
T,48.1948466667,-3.01777666667,164.2
T,48.1948433333,-3.01776666667,164.6
T,48.1948433333,-3.01776666667,164.4
T,48.194845,-3.01776,165.3
T,48.194845,-3.01776,165.4
T,48.1948433333,-3.01776,165.5
T,48.1948416667,-3.017765,165.3
T,48.1948383333,-3.01776333333,165.2
T,48.194835,-3.017765,164.6
T,48.1948333333,-3.01776166667,164.9
T,48.1948316667,-3.01775666667,165.2
T,48.1948316667,-3.017755,165.7
T,48.1948316667,-3.01775666667,166.1
T,48.1948316667,-3.01775833333,166.2
T,48.1948316667,-3.01775333333,166.8
T,48.1948316667,-3.01775666667,167.0
T,48.1948316667,-3.01776166667,167.1
T,48.19483,-3.01776166667,167.4
T,48.19483,-3.01775833333,168.1
T,48.19483,-3.017755,168.6
T,48.19483,-3.01774833333,169.3
T,48.19483,-3.01773833333,169.9
T,48.19483,-3.01772833333,170.6
T,48.19483,-3.01771833333,171.1
T,48.1948316667,-3.01770666667,171.6
T,48.19483,-3.01770333333,171.6
T,48.1948266667,-3.01769833333,171.6
T,48.1948216667,-3.01769166667,171.5
T,48.1948166667,-3.01768333333,171.6
T,48.19481,-3.01767333333,172.0
T,48.1948066667,-3.01766833333,171.9
T,48.1948066667,-3.01766333333,172.0
T,48.194805,-3.01766,172.2
T,48.194805,-3.01766,171.6
T,48.194805,-3.01766,171.3
T,48.1948066667,-3.01765833333,170.9
T,48.1948083333,-3.01765666667,170.7
T,48.1948083333,-3.017655,170.6
T,48.1948083333,-3.017655,170.5
T,48.1948083333,-3.01765333333,170.4
T,48.1948083333,-3.01765333333,170.4
T,48.1948083333,-3.01765333333,170.4
T,48.19481,-3.01765,170.5
T,48.1948083333,-3.01765166667,170.3
T,48.1948083333,-3.017655,170.0
T,48.1948066667,-3.01765833333,169.9
T,48.1948083333,-3.01765833333,169.8
T,48.1948133333,-3.01766333333,169.8
T,48.1948183333,-3.01766833333,169.7
T,48.1948216667,-3.01767333333,169.4
